,dataset,recall_score,f1_score,precision_score,f1_score_micro
0,haha2018_Es__,0.850947,0.844055,0.838865,0.8565
1,haha2018_Es_rev,0.850947,0.844055,0.838865,0.8565
2,haha2018_Es_haha,0.849943,0.846631,0.843799,0.85775
3,haha2018_Es_mx3t,0.845176,0.839995,0.835883,0.85225
4,haha2018_Es_miso,0.846914,0.840742,0.8360019999999999,0.85325
5,haha2018_Es_rev_haha,0.849943,0.846631,0.843799,0.85775
6,haha2018_Es_rev_miso,0.847009,0.840693,0.835866,0.85325
7,haha2018_Es_rev_mx3t,0.8449450000000001,0.8397,0.835548,0.852
8,haha2018_Es_haha_mx3t,0.846522,0.843059,0.840121,0.8545
9,haha2018_Es_haha_miso,0.846135,0.842858,0.840058,0.85425
10,haha2018_Es_haha_mx3t_miso,0.8417319999999999,0.839024,0.83666,0.8505
11,haha2018_Es_rev_haha_mx3t_miso,0.8420380000000001,0.83927,0.836859,0.85075
12,meoffendes2021_mx_Es__,0.755461,0.74229,0.732391,0.813241
13,meoffendes2021_mx_Es_rev,0.758838,0.743544,0.732432,0.815217
14,meoffendes2021_mx_Es_haha,0.755691,0.741549,0.731108,0.813241
15,meoffendes2021_mx_Es_mx3t,0.763297,0.7589349999999999,0.754993,0.820158
16,meoffendes2021_mx_Es_miso,0.73798,0.728247,0.7205940000000001,0.8013830000000001
17,meoffendes2021_mx_Es_rev_haha,0.75303,0.738058,0.727217,0.811265
18,meoffendes2021_mx_Es_rev_miso,0.738062,0.727481,0.719311,0.8013830000000001
19,meoffendes2021_mx_Es_rev_mx3t,0.766322,0.760299,0.755034,0.822134
20,meoffendes2021_mx_Es_haha_mx3t,0.7620180000000001,0.7572859999999999,0.753047,0.81917
21,meoffendes2021_mx_Es_haha_miso,0.7407050000000001,0.731703,0.724485,0.80336
22,meoffendes2021_mx_Es_haha_mx3t_miso,0.749657,0.749008,0.74837,0.810277
23,meoffendes2021_mx_Es_rev_haha_mx3t_miso,0.749657,0.749008,0.74837,0.810277
24,mexa3t2018_aggress_Es__,0.7880320000000001,0.785173,0.7826960000000001,0.805279
25,mexa3t2018_aggress_Es_rev,0.7880320000000001,0.785173,0.7826960000000001,0.805279
26,mexa3t2018_aggress_Es_haha,0.787514,0.7847580000000001,0.782361,0.804846
27,mexa3t2018_aggress_Es_mx3t,0.780826,0.7795080000000001,0.778284,0.799221
28,mexa3t2018_aggress_Es_miso,0.785325,0.7833519999999999,0.781574,0.8031159999999999
29,mexa3t2018_aggress_Es_rev_haha,0.787514,0.7847580000000001,0.782361,0.804846
30,mexa3t2018_aggress_Es_rev_miso,0.785325,0.7833519999999999,0.781574,0.8031159999999999
31,mexa3t2018_aggress_Es_rev_mx3t,0.780826,0.7795080000000001,0.778284,0.799221
32,mexa3t2018_aggress_Es_haha_mx3t,0.781279,0.780046,0.778895,0.799654
33,mexa3t2018_aggress_Es_haha_miso,0.78335,0.781573,0.7799579999999999,0.801385
34,mexa3t2018_aggress_Es_haha_mx3t_miso,0.781781,0.7804589999999999,0.77923,0.800087
35,mexa3t2018_aggress_Es_rev_haha_mx3t_miso,0.781781,0.7804589999999999,0.77923,0.800087
36,misoginia_Es__,0.775651,0.7746029999999999,0.774581,0.774924
37,misoginia_Es_rev,0.775651,0.7746029999999999,0.774581,0.774924
38,misoginia_Es_haha,0.7837540000000001,0.78203,0.782044,0.782477
39,misoginia_Es_mx3t,0.789396,0.788193,0.78816,0.78852
40,misoginia_Es_miso,0.781639,0.780926,0.781245,0.780967
41,misoginia_Es_rev_haha,0.7837540000000001,0.78203,0.782044,0.782477
42,misoginia_Es_rev_miso,0.781639,0.780926,0.781245,0.780967
43,misoginia_Es_rev_mx3t,0.786567,0.785114,0.785102,0.785498
44,misoginia_Es_haha_mx3t,0.780714,0.779002,0.7790220000000001,0.779456
45,misoginia_Es_haha_miso,0.779894,0.779438,0.7796799999999999,0.779456
46,misoginia_Es_haha_mx3t_miso,0.78324,0.782428,0.782774,0.782477
47,misoginia_Es_rev_haha_mx3t_miso,0.78324,0.782428,0.782774,0.782477
48,semeval2018_anger_Es__,0.42185199999999995,0.42768599999999996,0.44809899999999997,0.435407
49,semeval2018_anger_Es_rev,0.422863,0.427192,0.44913400000000003,0.435407
50,semeval2018_anger_Es_haha,0.413834,0.420026,0.441104,0.42583699999999997
51,semeval2018_anger_Es_mx3t,0.427185,0.425137,0.446826,0.429027
52,semeval2018_anger_Es_miso,0.408789,0.41436399999999995,0.437243,0.422648
53,semeval2018_anger_Es_rev_haha,0.403992,0.410094,0.431367,0.41626799999999997
54,semeval2018_anger_Es_rev_miso,0.41097,0.415025,0.439137,0.424242
55,semeval2018_anger_Es_rev_mx3t,0.430221,0.42603199999999997,0.44872,0.430622
56,semeval2018_anger_Es_haha_mx3t,0.417602,0.41713900000000004,0.43788099999999996,0.41945800000000005
